state_ocha,lga_ocha,adm2_pcode,pfpr
Ekiti,Emure,NG013007,27.98660695552826
Enugu,Enugu East,NG014003,26.32679045200348
Enugu,Enugu North,NG014004,14.358910918235779
Enugu,Enugu South,NG014005,17.989590764045715
Lagos,Epe,NG025007,28.76371145248413
Edo,Esan Central,NG012003,26.01345181465149
Edo,Esan North East,NG012004,26.350441575050354
Edo,Esan South East,NG012005,22.987383604049683
Edo,Esan West,NG012006,31.83324635028839
Ondo,Ese-Odo,NG029007,37.59376406669617
Akwa Ibom,Esit - Eket,NG003004,30.349820852279663
Akwa Ibom,Essien Udim,NG003005,37.61224150657654
Rivers,Etche,NG033011,29.610711336135864
Delta,Ethiope East,NG010005,15.44647067785263
Delta,Ethiope West,NG010006,21.68247252702713
Lagos,Eti-Osa,NG025008,11.694908887147903
Akwa Ibom,Etim Ekpo,NG003006,39.55989480018616
Akwa Ibom,Etinan,NG003007,36.06364130973816
Edo,Etsako Central,NG012007,24.748174846172333
Edo,Etsako East,NG012008,29.19257879257202
Edo,Etsako West,NG012009,26.891008019447327
Cross River,Etung,NG009011,36.64434254169464
Ogun,Ewekoro,NG028006,31.593576073646545
Enugu,Ezeagu,NG014006,24.829190969467163
Imo,Ezinihitte,NG017004,37.3705118894577
Ebonyi,Ezza North,NG011005,24.092651903629303
Ebonyi,Ezza South,NG011006,23.7678661942482
Kano,Fagge,NG020012,18.682676553726196
Kebbi,Fakai,NG022009,37.49614059925079
Katsina,Faskari,NG021013,31.046125292778015
Yobe,Fika,NG036004,25.26727318763733
Adamawa,Fufore,NG002002,27.895739674568176
Gombe,Funakaye,NG016005,30.316829681396484
Yobe,Fune,NG036005,28.055551648139954
Katsina,Funtua,NG021014,27.632445096969604
Kano,Gabasawa,NG020013,22.87367284297943
Sokoto,Gada,NG034004,22.803421318531036
Jigawa,Gagarawa,NG018007,27.478939294815063
Bauchi,Gamawa,NG005007,28.674951195716858
Bauchi,Ganjuwa,NG005008,27.354994416236877
Adamawa,Ganye,NG002003,30.07073402404785
Jigawa,Garki,NG018008,24.517670273780823
Kano,Garko,NG020014,26.587998867034912
Kano,Garum Mallam,NG020015,22.762471437454224
Taraba,Gashaka,NG035004,35.40494740009308
Taraba,Gassol,NG035005,27.46565341949463
Kano,Gaya,NG020016,27.22436785697937
Niger,Gbako,NG027008,28.055351972579956
Benue,Gboko,NG007005,28.795793652534485
Yobe,Geidam,NG036006,30.209815502166748
Kano,Gezawa,NG020017,30.348074436187744
Bauchi,Giade,NG005009,32.09620118141174
Adamawa,Girei,NG002005,29.244425892829895
Kaduna,Giwa,NG019003,29.700979590415955
Rivers,Gokana,NG033012,35.79261600971222
Gombe,Gombe,NG016006,20.259584486484528
Adamawa,Gombi,NG002004,25.537586212158203
Sokoto,Goronyo,NG034006,27.582189440727234
Borno,Gubio,NG008009,24.282434582710266
Sokoto,Gudu,NG034007,23.639050126075745
Yobe,Gujba,NG036007,32.415273785591125
Yobe,Gulani,NG036008,32.26289749145508
Benue,Guma,NG007006,23.068462312221527
Jigawa,Gumel,NG018009,20.284315943717957
Zamfara,Gummi,NG037006,35.780659317970276
Niger,Gurara,NG027009,27.63093113899231
Jigawa,Guri,NG018010,28.652453422546387
Zamfara,Gusau,NG037007,32.62123465538025
Adamawa,Guyuk,NG002006,24.627390503883362
Borno,Guzamala,NG008010,22.116394340991974
Sokoto,Gwadabawa,NG034005,26.381278038024902
Federal Capital Territory,Gwagwalada,NG015004,29.26487922668457
Kano,Gwale,NG020018,18.837761878967285
Kebbi,Gwandu,NG022010,27.325090765953064
Jigawa,Gwaram,NG018011,29.054993391036987
Kano,Gwarzo,NG020019,32.99169838428497
Benue,Gwer East,NG007007,37.310558557510376
Benue,Gwer West,NG007008,37.05087602138519
Jigawa,Gwiwa,NG018012,22.29882776737213
Borno,Gwoza,NG008011,26.974743604660034
Jigawa,Hadejia,NG018013,28.794798254966736
Borno,Hawul,NG008012,30.24318218231201
Adamawa,Hong,NG002007,22.14788943529129
Oyo,Ibadan North,NG031006,19.214269518852234
Oyo,Ibadan North East,NG031007,16.812734305858612
Oyo,Ibadan North West,NG031008,21.432237327098846
Oyo,Ibadan South East,NG031009,16.93260967731476
Oyo,Ibadan South West,NG031010,21.432237327098846
Kogi,Ibaji,NG023006,22.2005233168602
Oyo,Ibarapa Central,NG031011,35.137930512428284
Oyo,Ibarapa East,NG031012,31.122180819511414
Oyo,Ibarapa North,NG031013,32.22923278808594
Lagos,Ibeju/Lekki,NG025009,20.3311949968338
Akwa Ibom,Ibeno,NG003008,37.66213655471802
Akwa Ibom,Ibesikpo Asutan,NG003009,35.66442430019379
Taraba,Ibi,NG035006,25.70052742958069
Akwa Ibom,Ibiono Ibom,NG003010,35.10274589061737
Kogi,Idah,NG023007,13.836099207401276
Ondo,Idanre,NG029008,40.55820107460022
Imo,Ideato North,NG017005,33.84430706501007
Imo,Ideato South,NG017006,34.048670530319214
Anambra,Idemili North,NG004010,19.063696265220642
Anambra,Idemili South,NG004011,18.735799193382263
Oyo,Ido,NG031014,37.684816122055054
Ekiti,Ido-Osi,NG013008,35.75076758861542
Lagos,Ifako-Ijaye,NG025010,13.610915839672089
Osun,Ife Central,NG030011,31.94664716720581
Osun,Ife East,NG030012,24.208731949329376
Osun,Ife North,NG030013,43.75608265399933
Osun,Ife South,NG030014,36.841583251953125
