state_ocha,lga_ocha,adm2_pcode,area_sqkm,center_lat,center_lon,elevation
Oyo,Ibarapa Central,NG031011,683.60562511,7.45490207,3.23401203,206.0
Oyo,Ibarapa East,NG031012,752.5488134,7.58798977,3.46055158,182.0
Oyo,Ibarapa North,NG031013,962.74890392,7.67452048,3.15578851,161.0
Lagos,Ibeju/Lekki,NG025009,452.04133218,6.49511975,3.81597789,18.0
Akwa Ibom,Ibeno,NG003008,243.38210447,4.56345927,8.08897007,19.0
Akwa Ibom,Ibesikpo Asutan,NG003009,175.1215714,4.8963601,7.96617999,53.0
Taraba,Ibi,NG035006,2669.14963536,8.39512245,9.93280564,93.0
Akwa Ibom,Ibiono Ibom,NG003010,336.16748952,5.20024113,7.89535445,86.0
Kogi,Idah,NG023007,134.15157071,7.07174439,6.7345608,31.0
Ondo,Idanre,NG029008,1916.44995728,6.97581976,5.25564596,232.0
Imo,Ideato North,NG017005,182.18492458,5.86897997,7.20631197,115.0
Imo,Ideato South,NG017006,104.1558745,5.81624328,7.12345042,202.0
Anambra,Idemili North,NG004010,132.40535525,6.1367104,6.89332327,178.0
Anambra,Idemili South,NG004011,131.25874073,6.06112856,6.82857629,89.0
Oyo,Ido,NG031014,865.83824465,7.51405304,3.70550754,189.0
Ekiti,Ido-Osi,NG013008,230.93417967,7.86334831,5.19694342,577.0
Lagos,Ifako-Ijaye,NG025010,33.05235308,6.66054742,3.32182296,48.0
Osun,Ife Central,NG030011,110.71952105,7.54636903,4.52802693,354.0
Osun,Ife East,NG030012,191.76311935,7.4045228,4.57030617,255.0
Osun,Ife North,NG030013,900.38343557,7.29762885,4.44975396,187.0
Osun,Ife South,NG030014,738.09093436,7.23898955,4.61355048,220.0
Osun,Ifedayo,NG030015,138.29608282,7.96188866,4.98480672,564.0
Ondo,Ifedore,NG029009,317.40803983,7.35491423,5.10466391,334.0
Kwara,Ifelodun,NG024005,3438.39394602,8.6327047,5.17887766,210.0
Osun,Ifelodun,NG030016,118.9752915,7.90885343,4.63823309,391.0
Ogun,Ifo,NG028007,538.49695132,6.76026795,3.31789549,50.0
Kaduna,Igabi,NG019004,3391.92368959,10.74260477,7.48357192,643.0
Kogi,Igalamela-Odolu,NG023008,2114.04087332,7.03791724,7.07207741,46.0
Enugu,Igbo-Etiti,NG014007,333.98684058,6.69040967,7.39218014,414.0
Enugu,Igbo-Eze North,NG014008,304.00237319,7.01793805,7.4679947,375.0
Enugu,Igbo-Eze South,NG014009,170.14476465,6.95598501,7.36208885,295.0
Edo,Igueben,NG012010,349.4988753,6.5094352,6.24747412,273.0
Anambra,Ihiala,NG004012,240.83021403,5.84458009,6.85812531,116.0
Imo,Ihitte/Uboma,NG017007,108.43018101,5.64694741,7.38185638,111.0
Ogun,Ijebu East,NG028008,2169.36823704,6.81814658,4.251233,86.0
Ogun,Ijebu North,NG028009,953.74066558,7.03213093,3.99145715,67.0
Ogun,Ijebu North East,NG028010,212.19941027,6.87088924,4.02626593,60.0
Ogun,Ijebu Ode,NG028011,142.61396466,6.76696399,3.95962987,27.0
Ekiti,Ijero,NG013009,376.8517079,7.83173582,5.05835534,558.0
Kogi,Ijumu,NG023009,1282.45624253,7.83755053,5.89404243,502.0
Akwa Ibom,Ika,NG003011,114.66776512,5.01641372,7.54292693,68.0
Delta,Ika North East,NG010007,467.70072246,6.23676851,6.32092515,195.0
Delta,Ika South,NG010008,435.59292097,6.18730663,6.13356177,136.0
Kaduna,Ikara,NG019005,940.76501384,11.31367503,8.14743501,595.0
Imo,Ikeduru,NG017008,181.14775484,5.56304121,7.15050121,137.0
Lagos,Ikeja,NG025011,46.57791885,6.6045701,3.34522958,38.0
Ogun,Ikenne,NG028012,145.71369754,6.90100513,3.69774683,84.0
Ekiti,Ikere,NG013010,237.26661447,7.493613,5.20922163,370.0
Ekiti,Ikole,NG013011,1070.20726031,7.88315323,5.51564869,505.0
Cross River,Ikom,NG009012,1967.79132186,6.06133249,8.66787063,83.0
Akwa Ibom,Ikono,NG003012,262.60389898,5.17806602,7.79329416,104.0
Lagos,Ikorodu,NG025012,398.86907937,6.6061117,3.57580247,35.0
Akwa Ibom,Ikot Abasi,NG003013,335.67490226,4.60887766,7.62169427,12.0
Akwa Ibom,Ikot Ekpene,NG003014,115.8922647,5.20043896,7.70544431,75.0
Edo,Ikpoba-Okha,NG012011,857.07639909,6.19976541,5.6622467,49.0
Rivers,Ikwerre,NG033013,658.15910079,5.07051514,6.88200456,34.0
Ebonyi,Ikwo,NG011007,655.55749583,6.081396,8.17851009,24.0
Abia,Ikwuano,NG001005,278.37955115,5.40927745,7.57299173,122.0
Osun,Ila,NG030017,279.24439012,7.96998538,4.89513151,478.0
Ondo,Ilaje,NG029010,963.77320365,6.19899963,4.75285177,9.0
Ondo,Ile-Oluji-Okeigbo,NG029011,595.210618,7.2338334,4.88388688,273.0
Ekiti,Ilejemeji,NG013012,94.67162514,7.96025445,5.23069822,564.0
Osun,Ilesha East,NG030018,69.55506813,7.60831589,4.76090218,397.0
Osun,Ilesha West,NG030019,42.56559876,7.63822639,4.72573763,371.0
Sokoto,Illela,NG034008,1081.32899933,13.68276373,5.30549209,271.0
Kwara,Ilorin East,NG024006,451.19651508,8.62855065,4.82260251,375.0
Kwara,Ilorin South,NG024007,245.4563915,8.47943956,4.65524175,295.0
Kwara,Ilorin West,NG024008,149.02944418,8.48982834,4.49802431,357.0
Ogun,Imeko-Afon,NG028013,1807.93133331,7.63287736,2.85847941,176.0
Katsina,Ingawa,NG021015,789.50501061,12.60770755,8.14466042,541.0
Akwa Ibom,Ini,NG003015,382.90265403,5.40397166,7.75151867,23.0
Ogun,Ipokia,NG028014,572.4392951,6.65298083,2.79333315,52.0
Ondo,Irele,NG029012,891.39021967,6.47853037,4.98338838,51.0
Oyo,Irepo,NG031015,978.72257182,9.0246082,3.88495153,392.0
Kwara,Irepodun,NG024009,701.04566916,8.19354062,4.85832373,418.0
Osun,Irepodun,NG030020,30.32734182,7.84508107,4.49674761,317.0
Ekiti,Irepodun/Ifelodun,NG013013,326.92712786,7.70632306,5.33900533,400.0
Osun,Irewole,NG030021,262.18427897,7.41618561,4.21865585,225.0
Sokoto,Isa,NG034009,2164.61640905,13.20464219,6.35745264,321.0
Ekiti,Ise/Orun,NG013014,413.83142292,7.41527884,5.38669292,363.0
Oyo,Iseyin,NG031016,1812.98248557,8.00415325,3.59815763,308.0
Ebonyi,Ishielu,NG011008,695.14308515,6.40960598,7.84359249,83.0
Enugu,Isi-Uzo,NG014010,845.70249203,6.73900026,7.70744354,155.0
Abia,Isiala-Ngwa North,NG001006,283.55740903,5.2797878,7.39209545,104.0
Abia,Isiala-Ngwa South,NG001007,277.03423522,5.37976311,7.41540082,121.0
Imo,Isiala Mbano,NG017009,153.49028851,5.68077224,7.1971394,159.0
Kwara,Isin,NG024010,631.2037295,8.25790644,5.03884906,470.0
Abia,Isiukwuato,NG001008,382.56196212,5.80033781,7.47095882,118.0
Osun,Isokan,NG030022,436.69902232,7.24857696,4.1996518,219.0
Delta,Isoko North,NG010009,482.07696896,5.51388,6.12626378,18.0
Delta,Isoko South,NG010010,689.7363071,5.3973511,6.2135041,22.0
Imo,Isu,NG017010,52.59538545,5.6880414,7.05251124,170.0
Bauchi,Itas/Gadau,NG005010,1653.23602248,11.87940797,10.11037182,379.0
Oyo,Itesiwaju,NG031017,1540.18296613,8.20840739,3.48528895,304.0
Akwa Ibom,Itu,NG003016,180.25914776,5.13848542,7.99963452,53.0
Ebonyi,Ivo,NG011009,266.70515171,5.91382979,7.64065626,48.0
Oyo,Iwajowa,NG031018,2387.44768702,7.98612283,2.98693161,211.0
Osun,Iwo,NG030023,272.68885758,7.64534439,4.14933136,222.0
Ebonyi,Izzi,NG011010,1083.90804588,6.52471859,8.2750555,68.0
