state_ocha,lga_ocha,adm2_pcode,area_sqkm,center_lat,center_lon,elevation
Enugu,Nsukka,NG014013,556.33737647,6.84727273,7.3715082,437.0
Adamawa,Numan,NG002016,834.53038746,9.4514926,11.84109083,146.0
Imo,Nwangele,NG017015,69.64521801,5.70937339,7.11990421,170.0
Ogun,Obafemi-Owode,NG028015,1474.55582576,6.96067211,3.46962904,86.0
Cross River,Obanliku,NG009013,938.52789055,6.49426574,9.35415585,593.0
Benue,Obi,NG007014,497.01362687,7.02072083,8.27243765,86.0
Nasarawa,Obi,NG026011,1016.40662732,8.36983449,8.73596229,177.0
Abia,Obi Ngwa,NG001009,403.91842851,5.15227151,7.44781411,78.0
Rivers,Obia/Akpor,NG033015,257.64238853,4.86169075,7.02248307,12.0
Osun,Obokun,NG030024,508.09224357,7.77372555,4.77081244,371.0
Akwa Ibom,Obot Akara,NG003022,234.8487319,5.24345489,7.60069561,83.0
Imo,Obowo,NG017016,86.4244058,5.56037328,7.36112934,82.0
Cross River,Obubra,NG009014,1144.68183169,6.01531095,8.41466668,86.0
Cross River,Obudu,NG009015,467.75190303,6.56035589,9.08028058,177.0
Ogun,Odeda,NG028016,1435.54579487,7.31663183,3.52030737,141.0
Ondo,Odigbo,NG029013,1878.48258463,6.73155432,4.88543557,69.0
Osun,Odo-Otin,NG030025,290.91987446,8.00744341,4.67904834,372.0
Ogun,Odogbolu,NG028017,547.6155403,6.80770022,3.81410033,12.0
Cross River,Odukpani,NG009016,1354.6185809,5.17935078,8.20538651,62.0
Kwara,Offa,NG024013,94.31278415,8.1630578,4.69026175,425.0
Kogi,Ofu,NG023014,1715.42197407,7.32949329,7.06897106,299.0
Rivers,Ogba/Egbema/Ndoni,NG033016,958.33095317,5.44394754,6.63688493,25.0
Benue,Ogbadibo,NG007015,602.77252427,7.02140291,7.63904082,399.0
Anambra,Ogbaru,NG004016,517.7549276,5.91183701,6.75066624,17.0
Bayelsa,Ogbia,NG006005,678.13809875,4.79574441,6.31381923,21.0
Oyo,Ogbomosho North,NG031021,91.12273393,8.15030796,4.24920177,352.0
Oyo,Ogbomosho South,NG031022,28.98940671,8.108243,4.19991496,310.0
Oyo,Ogo Oluwa,NG031023,375.03068311,7.97521067,4.19382543,316.0
Cross River,Ogoja,NG009017,912.77919841,6.52680973,8.68895687,110.0
Kogi,Ogori/Magongo,NG023015,79.31035716,7.47867347,6.15587381,394.0
Rivers,Ogu/Bolo,NG033017,130.00634801,4.65075373,7.19587657,5.0
Ogun,Ogun waterside,NG028018,969.43430857,6.47391581,4.36787837,17.0
Imo,Oguta,NG017017,422.25672522,5.6551247,6.78051588,21.0
Abia,Ohafia,NG001010,440.11308886,5.66291478,7.83248872,130.0
Imo,Ohaji/Egbema,NG017018,895.84869249,5.42551101,6.84843849,54.0
Ebonyi,Ohaozara,NG011011,333.35681598,6.0020304,7.78838376,39.0
Ebonyi,Ohaukwu,NG011012,602.47076446,6.5388936,8.00827199,90.0
Benue,Ohimini,NG007016,598.70944027,7.26002428,7.95831712,197.0
Enugu,Oji-River,NG014014,411.37868718,6.16549323,7.3030229,204.0
Lagos,Ojo,NG025017,161.67324285,6.46249755,3.16611936,12.0
Benue,Oju,NG007017,1190.29868956,6.87015504,8.3636187,114.0
Kwara,Oke-Ero,NG024014,435.66792811,8.18031931,5.29643598,353.0
Kogi,Okehi,NG023016,661.11010209,7.72412049,6.33559323,176.0
Kogi,Okene,NG023017,298.31935396,7.45519017,6.39297471,170.0
Imo,Okigwe,NG017019,306.88429855,5.82118984,7.32072106,111.0
Ondo,Okitipupa,NG029014,855.57913904,6.56465359,4.7083363,46.0
Akwa Ibom,Okobo,NG003023,301.05634793,4.8134203,8.12658607,37.0
Delta,Okpe,NG010013,480.29848202,5.69996784,5.74271144,13.0
Benue,Okpokwu,NG007018,924.52315117,7.04413104,7.89330157,156.0
Rivers,Okrika,NG033018,286.41163861,4.68063314,7.08122575,0.0
Osun,Ola-oluwa,NG030026,326.10873283,7.74574204,4.19943215,268.0
Kogi,Olamabolo,NG023018,990.46473238,7.17821859,7.48204739,317.0
Osun,Olorunda,NG030027,108.49228697,7.8748881,4.57233066,403.0
Oyo,Olorunsogo,NG031024,1057.64546343,8.79578956,4.05648503,428.0
Oyo,Oluyole,NG031025,667.95285471,7.21715789,3.87966946,161.0
Kogi,Omala,NG023019,1591.56203606,7.77782794,7.56588636,179.0
Rivers,Omumma,NG033019,158.75558008,5.09841747,7.23774939,59.0
Oyo,Ona-Ara,NG031026,332.3762988,7.25286711,4.0538657,156.0
Ondo,Ondo East,NG029015,448.45269161,7.15850238,4.88485457,285.0
Ondo,Ondo West,NG029016,959.35436441,6.99201095,4.75850712,185.0
Ebonyi,Onicha,NG011013,439.23101081,6.11853244,7.81659689,89.0
Anambra,Onitsha North,NG004017,37.61880592,6.16355111,6.79747653,42.0
Anambra,Onitsha South,NG004018,9.91953081,6.13972306,6.77328528,31.0
Akwa Ibom,Onna,NG003024,163.91675874,4.63873365,7.87340125,17.0
Rivers,Opobo/Nkoro,NG033020,114.95588599,4.51237201,7.51926876,8.0
Edo,Oredo,NG012012,250.4196664,6.23301742,5.56381149,29.0
Oyo,Orelope,NG031027,911.69004186,8.79413474,3.80192276,388.0
Edo,Orhionmwon,NG012013,2410.76364155,6.08841755,5.94836007,77.0
Oyo,Ori Ire,NG031028,2033.69173352,8.31221083,4.18855172,403.0
Osun,Oriade,NG030028,460.56518064,7.55307714,4.86740817,321.0
Imo,Orlu,NG017020,122.71313296,5.8186979,7.03354982,183.0
Osun,Orolu,NG030029,109.2372137,7.90201537,4.49105744,388.0
Akwa Ibom,Oron,NG003025,52.13891398,4.81572949,8.22600527,5.0
Imo,Orsu,NG017021,75.05410525,5.84593964,6.96696935,177.0
Imo,Oru East,NG017022,131.41131701,5.72935753,6.94704099,112.0
Imo,Oru West,NG017023,96.7378619,5.7586544,6.90631938,137.0
Akwa Ibom,Oruk Anam,NG003026,544.44788884,4.82782216,7.69682216,43.0
Anambra,Orumba North,NG004019,320.99166408,6.11450803,7.15967907,56.0
Anambra,Orumba South,NG004020,188.24224248,5.98988363,7.2050609,127.0
Ondo,Ose,NG029017,1425.31578663,7.053574,5.75437761,231.0
Delta,Oshimili North,NG010014,510.20730461,6.30431944,6.64470056,73.0
Delta,Oshimili South,NG010015,266.43109837,6.13036205,6.7307334,22.0
Lagos,Oshodi-Isolo,NG025018,44.12568968,6.53292857,3.31282618,12.0
Abia,Osisioma Ngwa,NG001011,174.75327594,5.17307253,7.32438131,71.0
Osun,Osogbo,NG030030,60.98522445,7.74865309,4.56886194,343.0
Benue,Oturkpo,NG007019,1363.08338133,7.32031358,8.08696201,169.0
Edo,Ovia North East,NG012014,2338.00581204,6.39677431,5.50306579,109.0
Edo,Ovia South West,NG012015,2771.81799058,6.47149842,5.29943577,91.0
Edo,Owan East,NG012016,1228.11993443,7.02884545,6.10572182,131.0
Edo,Owan West,NG012017,739.86191526,6.93396573,5.88706594,158.0
Imo,Owerri-Municipal,NG017026,56.29551493,5.47990065,7.02198268,74.0
Imo,Owerri North,NG017024,193.94643899,5.43175901,7.10772833,104.0
Imo,Owerri West,NG017025,286.30460525,5.40682746,6.9851183,62.0
Ondo,Owo,NG029018,1138.33103321,7.10796759,5.59186752,284.0
Ekiti,Oye,NG013016,505.80857539,7.88053589,5.33753442,588.0
Anambra,Oyi,NG004021,135.07441465,6.22739384,6.90028613,88.0
Rivers,Oyigbo,NG033021,247.28674846,4.84663012,7.30196775,33.0
Oyo,Oyo East,NG031029,357.3410817,7.82793602,4.03344187,296.0
Oyo,Oyo West,NG031030,595.66507979,7.87760815,3.8247789,226.0
Kwara,Oyun,NG024015,508.8039076,8.19984915,4.63163549,402.0
Niger,Paikoro,NG027019,2088.82636221,9.49303913,6.83767857,298.0
Plateau,Pankshin,NG032013,1434.64811536,9.3250494,9.38806573,1195.0
Delta,Patani,NG010016,226.05511835,5.18961,6.1038708,8.0
Kwara,Pategi,NG024016,2908.55248032,8.67046014,5.81727277,144.0
Rivers,Port-Harcourt,NG033022,108.19723343,4.76685909,7.03715711,10.0
Yobe,Potiskum,NG036014,575.99007689,11.72968866,11.16086368,431.0
Plateau,Qua'an Pan,NG032014,2539.91765817,8.7778917,9.12905236,229.0
Sokoto,Rabah,NG034012,2393.77436445,12.99760662,5.76755822,283.0
Niger,Rafi,NG027020,3681.85673137,10.21470087,6.22106079,309.0
Kano,Rano,NG020032,517.38656515,11.48402509,8.51004846,542.0
Ogun,Remo North,NG028019,208.98157746,6.9952044,3.7177268,103.0
Niger,Rijau,NG027021,3119.16063075,11.04304175,5.22650918,355.0
Katsina,Rimi,NG021030,484.94703387,12.89776315,7.71934985,498.0
Kano,Rimin Gado,NG020033,266.82289164,11.92690966,8.32350376,475.0
Jigawa,Ringim,NG018023,1020.94675648,12.16989517,9.14846238,392.0
Plateau,Riyom,NG032015,828.47285084,9.55646359,8.70492509,1082.0
Kano,Rogo,NG020034,798.50191206,11.50881992,7.86330923,606.0
Jigawa,Roni,NG018024,304.18843601,12.57227022,8.3820069,469.0
Kaduna,Sabon-Gari,NG019019,262.59727965,11.17879319,7.6759905,661.0
Sokoto,Sabon Birni,NG034013,2377.44615586,13.4940883,6.24954703,323.0
Katsina,Sabuwa,NG021031,695.23948137,11.33591997,7.09657844,701.0
Katsina,Safana,NG021032,1389.50319946,12.50095133,7.22803794,498.0
Bayelsa,Sagbama,NG006006,948.68029961,5.09641931,6.12385164,7.0
Kebbi,Sakaba,NG022016,1452.31500059,11.1749086,5.59528364,409.0
Oyo,Saki East,NG031031,1367.6659379,8.70661368,3.63673049,354.0
Oyo,Saki West,NG031032,1879.4688213,8.64507231,3.21648897,396.0
Katsina,Sandamu,NG021033,327.05561029,12.91967969,8.38246324,502.0
Kaduna,Sanga,NG019020,1494.02812358,9.25128807,8.43736848,508.0
Delta,Sapele,NG010017,429.08470614,5.83616068,5.65904284,11.0
Taraba,Sardauna,NG035011,4595.61746269,6.92809079,11.23064058,1575.0
Ogun,Shagamu,NG028020,599.40363628,6.80770048,3.5894791,85.0
Sokoto,Shagari,NG034014,1310.00327289,12.53341558,5.06737579,284.0
Kebbi,Shanga,NG022017,2711.94623178,11.21109164,4.5970831,160.0
Borno,Shani,NG008027,1225.08909485,10.19307369,11.95264793,264.0
Kano,Shanono,NG020035,508.09256709,12.08693843,7.92906664,606.0
Adamawa,Shelleng,NG002017,1205.74751535,9.90315409,12.10576373,299.0
Plateau,Shendam,NG032016,2439.81140188,8.74796957,9.52301853,190.0
Zamfara,Shinkafi,NG037011,782.88136379,13.02907132,6.45859297,329.0
Bauchi,Shira,NG005016,1370.57162608,11.46192801,10.04301602,455.0
Niger,Shiroro,NG027022,5229.97145131,10.08431812,6.69841216,280.0
Gombe,Shomgom,NG016010,867.82660138,9.74969351,11.24702245,687.0
Lagos,Shomolu,NG025019,11.18279279,6.54179937,3.38393003,11.0
Sokoto,Silame,NG034015,798.33690146,12.98639322,4.79887572,236.0
Kaduna,Soba,NG019021,2247.94875996,10.95355757,8.05348766,695.0
Sokoto,Sokoto North,NG034016,40.01946101,13.07633047,5.2286123,248.0
Sokoto,Sokoto South,NG034017,28.53642058,13.03838179,5.25818268,306.0
Adamawa,Song,NG002018,4038.6730727,9.84108887,12.62071102,314.0
Bayelsa,Southern Ijaw,NG006007,2707.33883137,4.71595194,5.88057525,26.0
Jigawa,Sule-Tankarkar,NG018025,1232.60622823,12.63420844,9.17484993,378.0
Niger,Suleja,NG027023,129.15873598,9.19667777,7.17503469,423.0
Kano,Sumaila,NG020036,1249.56560744,11.32509029,8.96054083,522.0
Kebbi,Suru,NG022018,1568.10711833,11.78400789,4.13321595,168.0
Lagos,Surulere,NG025020,19.54428105,6.48877832,3.34502349,1.0
Oyo,Surulere,NG031033,1036.63000884,8.08843233,4.39842143,374.0
Niger,Tafa,NG027024,241.54369461,9.24770157,7.26278392,483.0
Bauchi,Tafawa-Balewa,NG005017,2454.91473336,9.85774327,9.61012968,594.0
Rivers,Tai,NG033023,160.568126,4.76984643,7.26197492,17.0
Kano,Takai,NG020037,598.19496835,11.48744529,9.13942172,473.0
Taraba,Takum,NG035012,2386.48077868,7.05081475,9.79638768,386.0
Zamfara,Talata Mafara,NG037012,1465.80990859,12.39614626,6.07325788,387.0
Sokoto,Tambuwal,NG034018,1839.06293017,12.43855209,4.9208364,317.0
Sokoto,Tangaza,NG034019,2375.12330145,13.47056475,4.97198028,276.0
Kano,Tarauni,NG020038,26.69324018,11.96443944,8.5561058,481.0
Benue,Tarka,NG007020,477.47954032,7.60462863,8.85851212,172.0
Yobe,Tarmua,NG036015,4525.37792635,12.22054982,11.8956434,345.0
Jigawa,Taura,NG018026,655.74490163,12.27916246,9.35272305,376.0
Kano,Tofa,NG020039,190.66784307,12.01454373,8.34058747,488.0
Bauchi,Toro,NG005018,6877.24127803,10.3682038,9.25214221,738.0
Nasarawa,Toto,NG026012,2983.10242009,8.26164952,7.19715724,225.0
Adamawa,Toungo,NG002019,5577.64967242,7.90223263,11.87424111,510.0
Zamfara,Tsafe,NG037013,1810.18555528,11.82517121,6.89559963,563.0
Kano,Tsanyawa,NG020040,535.76555977,12.27793078,8.00221063,559.0
Kano,Tudun Wada,NG020041,1226.84429754,11.20851525,8.5121067,610.0
Sokoto,Tureta,NG034020,2299.36038524,12.48310616,5.51174871,293.0
Enugu,Udenu,NG014015,256.92972328,6.89769599,7.56103157,316.0
Enugu,Udi,NG014016,890.8502707,6.43614892,7.39873639,336.0
Delta,Udu,NG010018,165.81848439,5.47697599,5.81210496,8.0
Akwa Ibom,Udung Uko,NG003027,58.68352794,4.74925758,8.26545933,27.0
Delta,Ughelli North,NG010019,830.97265091,5.48688366,6.0114343,12.0
Delta,Ughelli South,NG010020,769.97494651,5.36020949,5.96777868,23.0
Abia,Ugwunagbo,NG001012,125.99555834,5.02539995,7.3548102,48.0
Edo,Uhunmwonde,NG012018,1991.23656593,6.52593607,5.9000732,136.0
Akwa Ibom,Ukanafun,NG003028,218.29263666,4.87633505,7.58543694,43.0
Benue,Ukum,NG007021,1783.52843999,7.64953547,9.67692334,174.0
Abia,Ukwa East,NG001013,282.86532818,4.9369271,7.40280227,49.0
Abia,Ukwa West,NG001014,277.35053143,4.97924576,7.25148092,39.0
Delta,Ukwuani,NG010021,408.72461039,5.8494403,6.25205812,40.0
Abia,Umu-Nneochi,NG001017,368.0793656,5.97200304,7.40509387,392.0
Abia,Umuahia North,NG001015,227.49225863,5.60510584,7.47718135,100.0
Abia,Umuahia South,NG001016,135.26219111,5.49880737,7.43624498,98.0
Kano,Ungogo,NG020042,222.851839,12.04197439,8.6056237,458.0
Imo,Unuimo,NG017027,107.65928058,5.7968149,7.22481177,117.0
Akwa Ibom,Uruan,NG003029,346.6903896,5.00347544,8.0748869,12.0
Akwa Ibom,Urue-Offong/Oruko,NG003030,115.79195881,4.72303972,8.15492531,32.0
Benue,Ushongo,NG007022,1379.95202082,7.08219341,9.00670453,198.0
Taraba,Ussa,NG035013,1495.02340535,7.10408167,10.05358793,223.0
Delta,Uvwie,NG010022,112.43735367,5.56796808,5.77982608,10.0
Akwa Ibom,Uyo,NG003031,183.63474398,4.988215,7.9981777,59.0
Enugu,Uzo-Uwani,NG014017,841.74667596,6.68860629,7.1582969,138.0
Benue,Vandeikya,NG007023,977.84704263,6.84350764,9.0786866,216.0
Sokoto,Wamako,NG034021,663.35417255,13.08036802,5.07776168,270.0
Nasarawa,Wamba,NG026013,1210.46801918,9.01237001,8.7349034,260.0
Kano,Warawa,NG020043,363.81928333,11.89853,8.76492024,433.0
Bauchi,Warji,NG005019,658.82260523,11.163895,9.74370205,449.0
Delta,Warri North,NG010023,1835.72706489,5.93063904,5.1369468,13.0
Delta,Warri South,NG010024,585.72480761,5.66735284,5.60257282,0.0
Delta,Warri South West,NG010025,1694.96709945,5.60559109,5.33200665,0.0
Kebbi,Wasagu/Danko,NG022019,4094.76847137,11.4227391,5.7307369,435.0
Plateau,Wase,NG032017,4979.4620348,9.00434759,10.24355813,180.0
Kano,Wudil,NG020044,362.00891214,11.75916482,8.85111279,428.0
Taraba,Wukari,NG035014,3936.07124121,7.98914762,9.76843646,163.0
Sokoto,Wurno,NG034022,680.37541584,13.23691419,5.47058655,311.0
Niger,Wushishi,NG027025,1810.90367186,9.71018617,5.91202627,111.0
Sokoto,Yabo,NG034023,768.37880148,12.79643212,4.94217461,299.0
Kogi,Yagba East,NG023020,1472.71809712,8.13593536,5.71920528,308.0
Kogi,Yagba West,NG023021,1285.13115632,8.2767587,5.55164664,300.0
Cross River,Yakurr,NG009018,659.06228402,5.81760858,8.17790569,66.0
Cross River,Yala,NG009019,1783.85963801,6.58742372,8.51220243,41.0
Gombe,Yamaltu/Deba,NG016011,1960.76233406,10.31465133,11.37241364,294.0
Jigawa,Yankwashi,NG018027,338.06910197,12.74267465,8.50295475,443.0
Kebbi,Yauri,NG022020,122.79974645,10.75475636,4.7264751,154.0
Bayelsa,Yenegoa,NG006008,682.27031815,5.06539078,6.37224442,26.0
Adamawa,Yola North,NG002020,63.53436193,9.25845592,12.44019945,185.0
Adamawa,Yola South,NG002021,931.04804287,9.27204822,12.26059176,179.0
Taraba,Yorro,NG035015,1272.59947926,8.88030466,11.50678435,346.0
Yobe,Yunusari,NG036016,3815.34084545,13.11156862,11.72402708,324.0
Yobe,Yusufari,NG036017,3864.56087097,13.15951119,10.54321129,345.0
Bauchi,Zaki,NG005020,1902.99104659,12.21214508,10.24121257,362.0
Katsina,Zango,NG021034,519.44547021,12.95056562,8.54739512,454.0
Kaduna,Zango-Kataf,NG019022,2333.07789207,9.83906829,8.27780196,816.0
Kaduna,Zaria,NG019023,393.89004479,11.01878777,7.64597686,652.0
Taraba,Zing,NG035016,1027.53371229,8.85857995,11.76508286,459.0
Zamfara,Zurmi,NG037014,2684.60535061,12.86327938,6.71261887,381.0
Kebbi,Zuru,NG022021,697.39289094,11.41284731,5.27942215,351.0
